.	0	2	18	25	27	28	30	31	32	33	34
.	0	177451	20810026	27898809	36771253	40525806	44907069	53159377	95273993	297844157	499660772
.	1	2	18	25	27	28	30	31	32	33	34
.	1	216220	22399536	28311182	35913571	40229877	44623985	55493966	88427941	263707835	499660772
.	2	2	18	25	27	28	30	31	32	33	34
.	2	222710	22118233	27782533	34791403	39427222	43855338	55621347	86116153	249484110	499660772
.	3	2	15	25	27	28	30	31	32	33	34
.	3	228342	23116594	28669421	35250514	40358854	44858118	57912119	88345883	248885480	499660772
.	4	2	15	25	27	28	30	31	32	33	34
.	4	249029	21899184	27518415	34222373	38779725	43186818	55228127	86531306	250452622	499660772
.	5	2	14	15	16	24	26	27	28	29	30	31	32	33	34	35	36	37	38
.	5	125961	6194420	8780858	22620331	22621829	28280380	29403638	32676304	37630701	39782490	44547102	45298428	51511886	59768409	67042358	79998221	99192516	499660772
.	6	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	6	80778	5228665	7580316	22116575	22145549	22146336	27721215	28690525	31725520	36581389	38841165	43648846	44148400	49905212	57917053	64728603	77124025	97517040	499660772
.	7	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	7	58759	5032652	7605199	22730883	22808762	22812922	28481895	29366573	32323557	37235287	39472360	44380373	44827677	50638411	58830056	65752223	78139142	97967850	499660772
.	8	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	8	36285	4583540	6994900	23408327	23504738	23526749	29229158	30063217	33012992	38088122	40287129	45304901	45702274	51292845	59635580	66503760	79053338	99183555	499660772
.	9	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	9	49677	4362404	6725844	23194961	23341839	23389642	29041425	29896554	32818965	37915437	40289562	45640508	46035926	51576913	60099304	67047028	79724633	99990869	499660772
.	10	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	10	31350	4253611	6642141	22782580	22965572	23047526	28623932	29501049	32444273	37710995	39582251	44620240	45011371	50482122	58966846	65828470	78661310	98959999	499660772
.	11	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	11	22260	4440344	6847846	23042115	23270621	23392719	28847114	29844017	32863047	38313788	39929230	44899653	45312473	50860653	59272494	66163222	78846747	99201720	499660772
.	12	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	12	12725	4884761	7291929	22840473	23151237	23323836	28605532	29812576	32881325	38149551	39800665	44670779	45151446	50847689	59210585	66196832	78736080	98874246	499660772
.	13	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	13	8530	5011301	7501056	23224151	23613537	23889452	29049361	30313699	33597989	39155899	40214350	45059400	45530083	51290503	59692072	66718678	79346272	99225292	499660772
.	14	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	14	7925	5115999	7768515	23135641	23597065	23973611	28895201	30312548	33912132	39561118	40145573	44933744	45425414	51256476	59536649	66553812	79111624	98956090	499660772
.	15	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	15	22351	5137200	7773648	23375864	23960218	24478686	29185539	30758805	34600089	39914432	40514033	45250393	45737434	51569995	59933300	66961457	79700709	99498032	499660772
.	16	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	16	16391	4997636	7565369	23372093	24044383	24806633	29253653	31007267	35149703	40255825	40704504	45416183	45894950	51720736	60179425	67235210	79973537	99957786	499660772
.	17	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	17	24226	4847500	7424407	23347178	24058152	25063387	29146103	30989283	35373154	40328201	40601322	45280152	45749167	51576347	59974248	67015540	79689225	99912197	499660772
.	18	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	18	5505	4786761	7429419	23260160	24056303	25379961	29065090	31093638	35500198	40342950	40581923	45180603	45644936	51486028	59876459	66931735	79543692	99660879	499660772
.	19	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	19	9680	4842002	7489304	23459468	24364364	26096716	29333791	31609347	35942115	40809897	40995517	45544949	46013929	51898017	60339155	67436141	80139418	100319477	499660772
.	20	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	20	6151	4868622	7567073	23411185	24395629	26603611	29328468	31833390	35970400	40868640	41098641	45584649	46052547	51955803	60424687	67549218	80258064	100536691	499660772
.	21	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	21	4012	4846362	7499474	23603296	24656006	27377802	29553481	32330314	36216456	41144304	41413574	45820081	46280919	52203010	60707843	67846562	80564804	100813370	499660772
.	22	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	22	5656	4888999	7505848	23500796	24618500	27865453	29479842	32493126	36173195	41180570	41497909	45801965	46269941	52194119	60732611	67873426	80619534	100931722	499660772
.	23	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	23	28336	4827282	7500779	23528290	24649380	28412296	29487348	32705135	36161180	41211773	41569912	45816153	46280365	52186850	60714641	67863757	80608449	100898893	499660772
.	24	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	24	12221	4700098	7409394	23479805	24596827	28810291	29456592	32844990	36137118	41200614	41595235	45775255	46237380	52129434	60675331	67836303	80597147	100958072	499660772
.	25	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	25	3694	4663467	7399060	23461472	24578884	29084751	29412886	32924436	36089345	41201381	41632771	45744255	46201543	52101164	60652471	67812113	80643267	101075491	499660772
.	26	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	26	3689	4800470	7525051	23756413	24889965	29593680	29741867	33376940	36479389	41611940	42102177	46189251	46661774	52553678	61168044	68361118	81213910	101725789	499660772
.	27	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	27	4559	4740509	7443521	23573003	24701973	29503423	29565729	33244305	36393871	41631482	42143471	46232284	46697881	52605791	61244682	68455424	81366628	101845777	499660772
.	28	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	28	7212	4760252	7460680	23438875	24571166	29369704	29407245	33073739	36142765	41305575	41779916	45847387	46316856	52229695	60875209	68085062	81099097	101730711	499660772
.	29	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	29	2932	4580216	7180465	22629883	23718662	28417782	28455564	32096404	35245342	40332306	40819303	44773763	45229343	50995973	59516344	66584323	79551203	100394288	499660772
.	30	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	30	5919	4549655	7153089	22597241	23660355	28287600	28319886	31856704	34847675	39875077	40345153	44297772	44754564	50495742	58926946	65979204	78786532	99236420	499660772
.	31	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	31	5169	4522114	7140831	22588553	23635276	28245019	28276376	31789334	34778083	39831933	40296109	44253474	44709559	50454354	58843060	65887807	78603586	98873560	499660772
.	32	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	32	4884	4525437	7202457	22720486	23773585	28391156	28424057	31937659	34911316	39966427	40415277	44384037	44835832	50597252	59012978	66062971	78831634	99107668	499660772
.	33	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	33	3951	4539895	7203524	22594005	23652927	28249900	28285347	31806493	34791250	39873575	40327676	44284330	44744262	50501929	58946964	66008840	78789952	99120094	499660772
.	34	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	34	2748	4580899	7295848	22833970	23895710	28500760	28538139	32051746	34994732	40062218	40506416	44489232	44951315	50740353	59176879	66255416	79045909	99289606	499660772
.	35	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	35	3322	4584676	7308169	22802738	23871889	28498500	28538123	32060627	35012448	40080439	40545113	44524419	44986364	50770464	59218620	66297010	79086703	99350943	499660772
.	36	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	36	2269	4818519	7733318	24107978	25202532	29914315	29957874	33573729	36665824	41902202	42428763	46437817	46904083	52715890	61226045	68328143	81248878	101675475	499660772
.	37	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	37	1364	4671522	7481122	23101531	24204906	28893585	28941761	32646351	35988190	41446205	42108699	46111843	46578445	52409450	60955824	68089345	81209420	101857829	499660772
.	38	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	38	2988	4630681	7457694	23033929	24133680	28815087	28865154	32491755	35606832	40813284	41321083	45323597	45792548	51620804	60224940	67374082	80652628	101536309	499660772
.	39	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	39	2491	4616522	7482788	22995492	24089208	28757967	28811221	32399933	35454302	40635819	41128577	45144047	45612913	51447273	60050867	67240387	80299721	101040523	499660772
.	40	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	40	193	4674609	7590834	23088549	24198570	28863272	28921106	32505749	35542149	40687491	41168747	45182546	45660931	51498257	60105161	67303838	80336301	100967305	499660772
.	41	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	41	2888	4657448	7578918	23024773	24146458	28795762	28858666	32443209	35495458	40677046	41175469	45203260	45677598	51506348	60100024	67283154	80290073	100811807	499660772
.	42	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	42	367	4646185	7563131	22743714	23881739	28489468	28558784	32163064	35232236	40415636	40888636	44896099	45376526	51213305	59878044	67094451	80195823	100905826	499660772
.	43	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	43	3567	4644829	7613654	22761364	23906789	28507176	28580073	32168599	35170584	40345216	40801089	44821803	45305274	51184582	59869034	67128066	80222293	100970922	499660772
.	44	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	44	1095	4675598	7756469	23019901	24162335	28762232	28839231	32384659	35365376	40530038	40982855	45036747	45522482	51401236	60097394	67379976	80484032	101226509	499660772
.	45	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	45	666	4735828	7890871	23442179	24592211	29227031	29313485	32871672	35843897	41080142	41550629	45650357	46144331	52066585	60839324	68185580	81340181	102020504	499660772
.	46	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	46	654	4680686	7900613	23276007	24436139	29087872	29179784	32794737	35808358	41039338	41507352	45591888	46091764	52005587	60815401	68176195	81495179	102242187	499660772
.	47	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	47	6581	4749672	8011775	23262808	24442910	29078553	29176442	32789062	35766977	41001410	41483065	45564689	46078179	51988522	60818787	68207137	81452803	102173592	499660772
.	48	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	48	4085	4751853	8037149	23281066	24475681	29100239	29205632	32803602	35802821	41051838	41528731	45617924	46122491	52049320	60905270	68315952	81556883	102369207	499660772
.	49	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
